ano,sigla_uf,id_municipio,id_escola,rede,tipo_localizacao,tipo_situacao_funcionamento,agua_potavel,energia_rede_publica,esgoto_rede_publica,biblioteca,sala_leitura,laboratorio_informatica,internet,internet_alunos,desktop_aluno,computador_portatil_aluno,tablet_aluno,quantidade_sala_utilizada,sala_atendimento_especial
2024,MG,3109451,31312185,3,1,1,1,1,0,1,0,0,1,0,0,1,0,11,0
2024,BA,2910107,29237360,3,2,1,1,1,0,1,0,0,1,1,1,1,0,14,1
2024,MG,3148004,31323560,3,1,1,1,1,1,1,0,0,1,0,0,0,1,11,0
2024,MG,3157203,31247197,3,1,1,1,1,1,1,0,0,1,0,0,0,1,14,0
2024,MG,3147956,31315770,3,1,1,1,1,1,1,0,0,1,0,0,0,0,10,0
2024,MG,3154606,31254151,3,1,1,1,1,1,0,1,0,1,1,0,0,1,11,0
2024,BA,2927408,29443431,3,1,1,1,1,1,0,0,0,1,0,0,1,1,9,0
2024,MA,2102507,21038341,3,2,1,1,1,0,0,0,0,1,0,0,0,0,11,0
2024,PR,4124400,41089480,3,1,1,1,1,1,1,0,1,1,1,1,0,0,10,1
2024,SP,3522406,35221703,3,1,1,1,1,1,0,1,1,1,1,0,1,0,13,0
2024,MG,3156700,31253154,3,1,1,1,1,1,1,0,1,1,0,1,1,0,14,1
2024,MG,3171204,31371610,3,1,1,1,1,1,1,1,1,1,0,1,1,1,18,1
2024,BA,2931350,29328241,3,1,1,1,1,1,1,0,0,1,0,1,1,1,10,0
2024,MG,3162609,31020826,3,1,1,1,1,1,1,0,0,1,0,0,0,0,16,0
2024,MG,3170750,31265365,3,1,1,1,1,1,0,1,1,1,0,1,1,0,9,1
2024,SP,3547809,35008751,3,1,1,1,1,1,1,0,0,1,1,0,1,1,13,0
2024,SC,4202107,42159938,3,1,1,1,1,1,1,1,0,1,0,0,0,1,12,1
2024,SC,4216206,42131090,3,1,1,1,1,0,1,1,0,1,0,0,0,0,11,1
2024,MA,2108454,21196077,3,1,1,1,1,0,0,0,0,1,0,1,1,0,14,0
2024,MA,2110203,21275327,3,1,1,1,1,0,0,0,1,1,0,1,0,0,9,0
2024,RS,4304606,43038549,3,1,1,1,1,1,1,0,1,1,1,0,1,1,10,1
2024,RJ,3302007,33045216,3,1,1,1,1,1,0,1,1,1,1,1,0,0,15,1
2024,SP,3511102,35270428,3,1,1,1,1,1,0,0,1,1,1,1,1,0,17,1
2024,SP,3511607,35246153,3,1,1,1,1,1,0,1,1,1,1,0,1,1,11,0
2024,SP,3525300,35080925,3,1,1,1,1,1,0,1,1,1,0,1,0,0,19,1
2024,MG,3105301,31268976,3,1,1,1,1,1,0,1,1,1,1,1,0,0,11,0
2024,SC,4202404,42109078,3,1,1,1,1,1,0,1,1,1,1,1,1,1,10,0
