id_municipio,nu_rede,nu_serie,id_indicador_municipio,nome_uf,nome_regiao,ds_rede,qt_alunos_avaliados,qt_alunos_alfabetizados,qt_alunos_alfabetizados_corte,pc_indicador_alfabetizacao,pc_indicador_alfabetizacao_corte,vl_proficiencia_media,vl_proficiencia_mediana,ts_insercao,pc_taxa_alfabetizacao,pc_participacao_meta,pc_meta_2024,pc_meta_2025,pc_meta_2026,pc_meta_2027,pc_meta_2028,pc_meta_2029,pc_meta_2030,pc_meta_ano_corrente,vl_gap_meta_resultado,nu_ano,sigla_uf
2201101,3,2,-4609793391287189827,Piauí,Nordeste,Municipal,122,55,55,45.08,45.08,739.13,736.84,2026-08-20 01:27:09,44.97,97.6,47.14,53.38,59.52,65.38,70.81,75.7,80.0,47.14,-2.17,2024,PI
2205581,3,2,-6960389259885749334,Piauí,Nordeste,Municipal,55,25,25,45.45,45.45,734.74,733.43,2026-08-20 01:27:09,44.87,84.62,11.95,19.26,29.54,42.43,56.43,69.47,80.0,11.95,32.92,2024,PI
2206308,3,2,7804404392125682552,Piauí,Nordeste,Municipal,13,11,11,84.62,84.62,759.99,758.43,2026-08-20 01:27:09,84.62,100.0,52.65,57.92,63.01,67.83,72.3,76.37,80.0,52.65,31.97,2024,PI
2206357,3,2,-6817896064483043079,Piauí,Nordeste,Municipal,12,4,4,33.33,33.33,723.89,731.92,2026-08-20 01:27:09,33.33,92.31,44.03,50.78,57.5,63.95,69.94,75.31,80.0,44.03,-10.7,2024,PI
2207777,3,2,-4506173171067960339,Piauí,Nordeste,Municipal,46,29,29,63.04,63.04,749.17,758.55,2026-08-20 01:27:09,63.04,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,-16.96,2024,PI
2209856,3,2,2876215982592882257,Piauí,Nordeste,Municipal,27,26,26,96.3,96.3,809.49,816.02,2026-08-20 01:27:09,96.34,93.1,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,16.34,2024,PI
2300754,3,2,-2791230090146319532,Ceará,Nordeste,Municipal,669,552,552,82.51,82.51,785.18,793.92,2026-08-20 01:27:09,82.28,96.82,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,2.28,2024,CE
2301703,3,2,7772838497564202030,Ceará,Nordeste,Municipal,211,156,156,73.93,73.93,775.37,782.62,2026-08-20 01:27:09,73.84,99.53,73.96,75.05,76.1,77.12,78.11,79.07,80.0,73.96,-0.12,2024,CE
2303006,3,2,-7826786664103644594,Ceará,Nordeste,Municipal,157,155,155,98.73,98.73,839.69,842.65,2026-08-20 01:27:09,98.73,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,18.73,2024,CE
2304509,3,2,7971547104690692777,Ceará,Nordeste,Municipal,221,217,217,98.19,98.19,825.74,826.34,2026-08-20 01:27:09,98.18,99.55,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,18.18,2024,CE
2305209,3,2,-4756606270585914252,Ceará,Nordeste,Municipal,179,172,172,96.09,96.09,831.87,837.31,2026-08-20 01:27:09,96.11,99.44,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,16.11,2024,CE
2307007,3,2,-360255275417969002,Ceará,Nordeste,Municipal,346,306,306,88.44,88.44,800.89,810.64,2026-08-20 01:27:09,88.24,94.79,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,8.24,2024,CE
2311702,3,2,867266667285771708,Ceará,Nordeste,Municipal,199,196,196,98.49,98.49,836.44,840.02,2026-08-20 01:27:09,98.5,99.5,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,18.5,2024,CE
2312304,3,2,6016300418403220571,Ceará,Nordeste,Municipal,551,524,524,95.1,95.1,819.27,821.59,2026-08-20 01:27:09,95.11,99.82,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,15.11,2024,CE
2101509,3,2,-933369992299835469,Maranhão,Nordeste,Municipal,136,55,55,40.44,40.44,730.45,729.99,2026-08-20 01:27:09,41.6,76.4,47.68,53.84,59.88,65.63,70.96,75.76,80.0,,,2023,MA
2102606,3,2,5946819816340660708,Maranhão,Nordeste,Municipal,237,147,147,62.03,62.03,750.04,753.23,2026-08-20 01:27:09,61.61,92.22,64.65,67.57,70.36,73.01,75.5,77.83,80.0,,,2023,MA
2104073,3,2,-8910553637088403629,Maranhão,Nordeste,Municipal,138,116,116,84.06,84.06,774.94,779.88,2026-08-20 01:27:09,84.89,94.52,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,MA
2104628,3,2,7461916791791166098,Maranhão,Nordeste,Municipal,107,105,105,98.13,98.13,795.18,794.74,2026-08-20 01:27:09,98.32,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,MA
2107803,3,2,6838713053112400698,Maranhão,Nordeste,Municipal,354,321,321,90.68,90.68,791.61,798.91,2026-08-20 01:27:09,90.73,93.4,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,MA
2108504,3,2,2547353420969161081,Maranhão,Nordeste,Municipal,369,154,154,41.73,41.73,732.2,728.38,2026-08-20 01:27:09,40.94,86.62,47.1,53.35,59.5,65.36,70.8,75.69,80.0,,,2023,MA
2110708,3,2,720465141905900236,Maranhão,Nordeste,Municipal,342,147,147,42.98,42.98,736.24,733.17,2026-08-20 01:27:09,41.82,90.48,47.88,54.0,60.0,65.72,71.01,75.79,80.0,,,2023,MA
2112100,3,2,-2582750375419206377,Maranhão,Nordeste,Municipal,287,124,124,43.21,43.21,735.23,732.57,2026-08-20 01:27:09,41.93,87.5,47.97,54.08,60.06,65.76,71.04,75.8,80.0,,,2023,MA
