cd_referencia,nu_ano,nu_rede,ds_rede,pc_taxa_alfabetizacao,pc_taxa_alfabetizacao_ano_anterior,vl_variacao_yoy,fl_evolucao_positiva,id_evolucao,ts_insercao,ds_nivel_geografico
2503308,2023,3,Municipal,42.05,,,,-2688573090918902779,2026-08-20 01:27:09,MUNICIPIO
2503308,2024,3,Municipal,52.23,42.05,10.18,true,7063948433184189979,2026-08-20 01:27:09,MUNICIPIO
2505352,2023,3,Municipal,37.73,,,,-1680783769616860088,2026-08-20 01:27:09,MUNICIPIO
2505352,2024,3,Municipal,50.86,37.73,13.13,true,6490976585237324868,2026-08-20 01:27:09,MUNICIPIO
2508208,2023,5,Pública,67.61,,,,-472114202224186470,2026-08-20 01:27:09,MUNICIPIO
2508208,2024,5,Pública,42.8,67.61,-24.81,false,-5085060831896093421,2026-08-20 01:27:09,MUNICIPIO
2508604,2023,5,Pública,47.19,,,,3041768031982464595,2026-08-20 01:27:09,MUNICIPIO
2508604,2024,5,Pública,44.96,47.19,-2.23,false,4024943003912601565,2026-08-20 01:27:09,MUNICIPIO
2509107,2023,5,Pública,37.99,,,,4028324449140013699,2026-08-20 01:27:09,MUNICIPIO
2509107,2024,5,Pública,70.06,37.99,32.07,true,1503494870595157966,2026-08-20 01:27:09,MUNICIPIO
2509602,2023,3,Municipal,84.33,,,,-1076081740821831511,2026-08-20 01:27:09,MUNICIPIO
2509602,2024,3,Municipal,93.4,84.33,9.07,true,-5038891724640098747,2026-08-20 01:27:09,MUNICIPIO
2509909,2023,3,Municipal,58.78,,,,-2959223900795221719,2026-08-20 01:27:09,MUNICIPIO
2509909,2024,3,Municipal,47.23,58.78,-11.55,false,2696332697836597972,2026-08-20 01:27:09,MUNICIPIO
2510402,2023,5,Pública,76.11,,,,345401910764497542,2026-08-20 01:27:09,MUNICIPIO
2510402,2024,5,Pública,91.23,76.11,15.12,true,-4172489158328357220,2026-08-20 01:27:09,MUNICIPIO
2510808,2023,5,Pública,43.61,,,,-7910891939383293870,2026-08-20 01:27:09,MUNICIPIO
2510808,2024,5,Pública,67.47,43.61,23.86,true,7057377036210347136,2026-08-20 01:27:09,MUNICIPIO
2511301,2023,5,Pública,48.84,,,,-126697188900463353,2026-08-20 01:27:09,MUNICIPIO
2511301,2024,5,Pública,38.92,48.84,-9.92,false,-8383798796341591388,2026-08-20 01:27:09,MUNICIPIO
2513356,2023,3,Municipal,52.66,,,,7761782044834039730,2026-08-20 01:27:09,MUNICIPIO
2513356,2024,3,Municipal,39.01,52.66,-13.65,false,-6723936858308452397,2026-08-20 01:27:09,MUNICIPIO
2513984,2023,3,Municipal,56.59,,,,-5127139825613031767,2026-08-20 01:27:09,MUNICIPIO
2513984,2024,3,Municipal,97.5,56.59,40.91,true,569386594497346043,2026-08-20 01:27:09,MUNICIPIO
2516755,2023,5,Pública,62.16,,,,-5478720599512287332,2026-08-20 01:27:09,MUNICIPIO
2516755,2024,5,Pública,48.73,62.16,-13.43,false,4272059138145709681,2026-08-20 01:27:09,MUNICIPIO
2516904,2023,2,Estadual,33.33,,,,-4130493024995194206,2026-08-20 01:27:09,MUNICIPIO
2516904,2024,2,Estadual,50.0,33.33,16.67,true,-2095296667045559404,2026-08-20 01:27:09,MUNICIPIO
2600708,2023,3,Municipal,55.15,,,,8454322646904297902,2026-08-20 01:27:09,MUNICIPIO
2600708,2024,3,Municipal,39.22,55.15,-15.93,false,-8208408050300881636,2026-08-20 01:27:09,MUNICIPIO
2601706,2023,5,Pública,49.69,,,,8724141186858394547,2026-08-20 01:27:09,MUNICIPIO
2601706,2024,5,Pública,43.93,49.69,-5.76,false,5495152013400294644,2026-08-20 01:27:09,MUNICIPIO
2601904,2023,3,Municipal,51.47,,,,-7364669082253579957,2026-08-20 01:27:09,MUNICIPIO
2601904,2024,3,Municipal,56.84,51.47,5.37,true,3048393426256879274,2026-08-20 01:27:09,MUNICIPIO
2602209,2023,5,Pública,60.94,,,,-5454641184909434617,2026-08-20 01:27:09,MUNICIPIO
2602209,2024,5,Pública,69.15,60.94,8.21,true,2067774158688043887,2026-08-20 01:27:09,MUNICIPIO
2602308,2023,3,Municipal,56.71,,,,-6415046552414281248,2026-08-20 01:27:09,MUNICIPIO
2602308,2024,3,Municipal,79.75,56.71,23.04,true,7952086418005068546,2026-08-20 01:27:09,MUNICIPIO
2604106,2023,5,Pública,54.95,,,,5785169819760873489,2026-08-20 01:27:09,MUNICIPIO
2604106,2024,5,Pública,58.37,54.95,3.42,true,-2575344094142217168,2026-08-20 01:27:09,MUNICIPIO
2604908,2023,5,Pública,76.43,,,,-3229893506742409071,2026-08-20 01:27:09,MUNICIPIO
2604908,2024,5,Pública,95.06,76.43,18.63,true,-6981507399627397043,2026-08-20 01:27:09,MUNICIPIO
2606507,2023,5,Pública,66.34,,,,-6137781006193476151,2026-08-20 01:27:09,MUNICIPIO
2606507,2024,5,Pública,82.26,66.34,15.92,true,-1497581920914193115,2026-08-20 01:27:09,MUNICIPIO
2610202,2023,3,Municipal,76.82,,,,-2786799687309626907,2026-08-20 01:27:09,MUNICIPIO
2610202,2024,3,Municipal,94.53,76.82,17.71,true,-8588326335509284016,2026-08-20 01:27:09,MUNICIPIO
2614204,2023,5,Pública,60.3,,,,-4028422594335097621,2026-08-20 01:27:09,MUNICIPIO
2614204,2024,5,Pública,74.49,60.3,14.19,true,-1942010437091160995,2026-08-20 01:27:09,MUNICIPIO
2614303,2023,3,Municipal,44.18,,,,-1232883878454836675,2026-08-20 01:27:09,MUNICIPIO
2614303,2024,3,Municipal,56.94,44.18,12.76,true,-7751176819203542205,2026-08-20 01:27:09,MUNICIPIO
2616407,2023,3,Municipal,46.09,,,,-413736560732347288,2026-08-20 01:27:09,MUNICIPIO
2616407,2024,3,Municipal,50.66,46.09,4.57,true,1586093459588014706,2026-08-20 01:27:09,MUNICIPIO
2702355,2023,3,Municipal,45.7,,,,7929420935970375371,2026-08-20 01:27:09,MUNICIPIO
2702355,2024,3,Municipal,67.43,45.7,21.73,true,-3770857497189390003,2026-08-20 01:27:09,MUNICIPIO
2702801,2023,3,Municipal,34.71,,,,2201140098780347967,2026-08-20 01:27:09,MUNICIPIO
2702801,2024,3,Municipal,49.34,34.71,14.63,true,-415618972183539895,2026-08-20 01:27:09,MUNICIPIO
2702900,2023,3,Municipal,35.73,,,,4401045104783460152,2026-08-20 01:27:09,MUNICIPIO
2702900,2024,3,Municipal,39.96,35.73,4.23,true,5702377022433582211,2026-08-20 01:27:09,MUNICIPIO
2704708,2023,5,Pública,40.6,,,,-4975775738460729665,2026-08-20 01:27:09,MUNICIPIO
2704708,2024,5,Pública,46.23,40.6,5.63,true,-6645119869381826605,2026-08-20 01:27:09,MUNICIPIO
2705101,2023,3,Municipal,35.25,,,,-8623423294125722194,2026-08-20 01:27:09,MUNICIPIO
2705101,2024,3,Municipal,48.77,35.25,13.52,true,6587392776775057423,2026-08-20 01:27:09,MUNICIPIO
