id_indicador_municipio,id_municipio,nome_uf,nome_regiao,nu_rede,ds_rede,nu_serie,qt_alunos_avaliados,qt_alunos_alfabetizados,qt_alunos_alfabetizados_corte,pc_indicador_alfabetizacao,pc_indicador_alfabetizacao_corte,vl_proficiencia_media,vl_proficiencia_mediana,ts_insercao,nu_ano,sigla_uf
-8287603372988017536,3146305,Minas Gerais,Sudeste,3,Municipal,2,107,52,52,48.6,48.6,732.34,739.58,2026-08-20 01:27:09,2024,MG
1247070745605961285,3147709,Minas Gerais,Sudeste,3,Municipal,2,89,70,70,78.65,78.65,761.23,761.0,2026-08-20 01:27:09,2024,MG
8003616864243859090,3148103,Minas Gerais,Sudeste,3,Municipal,2,801,612,612,76.4,76.4,762.54,769.83,2026-08-20 01:27:09,2024,MG
3977242629774766058,3149002,Minas Gerais,Sudeste,3,Municipal,2,35,28,28,80.0,80.0,765.09,767.03,2026-08-20 01:27:09,2024,MG
4557071553588262388,3157906,Minas Gerais,Sudeste,3,Municipal,2,170,102,102,60.0,60.0,747.41,754.91,2026-08-20 01:27:09,2024,MG
-8256028034213103191,3160603,Minas Gerais,Sudeste,3,Municipal,2,15,14,14,93.33,93.33,770.87,767.13,2026-08-20 01:27:09,2024,MG
-6215069302297084089,3162450,Minas Gerais,Sudeste,3,Municipal,2,62,21,21,33.87,33.87,718.45,718.44,2026-08-20 01:27:09,2024,MG
-7919019067126796361,3168309,Minas Gerais,Sudeste,3,Municipal,2,53,50,50,94.34,94.34,783.75,779.83,2026-08-20 01:27:09,2024,MG
-8271177281410898377,3170602,Minas Gerais,Sudeste,3,Municipal,2,13,9,9,69.23,69.23,755.57,753.14,2026-08-20 01:27:09,2024,MG
-7066508175374255956,3170750,Minas Gerais,Sudeste,3,Municipal,2,105,98,98,93.33,93.33,779.14,777.14,2026-08-20 01:27:09,2024,MG
6606313655068231317,3171154,Minas Gerais,Sudeste,3,Municipal,2,44,36,36,81.82,81.82,771.53,777.63,2026-08-20 01:27:09,2024,MG
5947983802590066762,3100708,Minas Gerais,Sudeste,3,Municipal,2,24,23,23,95.83,95.83,804.01,800.28,2026-08-20 01:27:09,2023,MG
-5528976724380450289,3102001,Minas Gerais,Sudeste,3,Municipal,2,146,93,93,63.7,63.7,759.8,760.48,2026-08-20 01:27:09,2023,MG
4483734521657679711,3102704,Minas Gerais,Sudeste,3,Municipal,2,92,55,55,59.78,59.78,749.48,759.21,2026-08-20 01:27:09,2023,MG
6207545630001945321,3104700,Minas Gerais,Sudeste,2,Estadual,2,30,5,5,16.67,16.67,708.42,717.43,2026-08-20 01:27:09,2023,MG
-4932209082680296080,3111101,Minas Gerais,Sudeste,3,Municipal,2,131,105,105,80.15,80.15,790.83,790.62,2026-08-20 01:27:09,2023,MG
-6181595419176849414,3122405,Minas Gerais,Sudeste,3,Municipal,2,73,48,48,65.75,65.75,757.52,771.67,2026-08-20 01:27:09,2023,MG
-1513951510861884487,3123106,Minas Gerais,Sudeste,3,Municipal,2,47,20,20,42.55,42.55,738.39,739.31,2026-08-20 01:27:09,2023,MG
654291688783372171,3124708,Minas Gerais,Sudeste,3,Municipal,2,17,17,17,100.0,100.0,793.03,795.49,2026-08-20 01:27:09,2023,MG
5732397766407276649,3126109,Minas Gerais,Sudeste,3,Municipal,2,458,308,308,67.25,67.25,759.68,764.12,2026-08-20 01:27:09,2023,MG
-2073866756737629283,3127057,Minas Gerais,Sudeste,3,Municipal,2,28,10,10,35.71,35.71,727.09,717.42,2026-08-20 01:27:09,2023,MG
8455814138053665326,3133105,Minas Gerais,Sudeste,2,Estadual,2,20,3,3,15.0,15.0,718.94,717.65,2026-08-20 01:27:09,2023,MG
2073233848709063732,3133501,Minas Gerais,Sudeste,2,Estadual,2,98,78,78,79.59,79.59,770.98,775.82,2026-08-20 01:27:09,2023,MG
